type,code,name
水泥,1101,台泥 1101
水泥,1102,亞泥 1102
水泥,1103,嘉泥 1103
水泥,1104,環泥 1104
水泥,1108,幸福 1108
水泥,1109,信大 1109
水泥,1110,東泥 1110
食品,1201,味全 1201
食品,1203,味王 1203
食品,1210,大成 1210
食品,1213,大飲 1213
食品,1215,卜蜂 1215
食品,1216,統一 1216
食品,1217,愛之味 1217 
食品,1218,泰山 1218
食品,1219,福壽 1219
食品,1220,台榮 1220
食品,1225,福懋油 1225
食品,1227,佳格 1227
食品,1229,聯華 1229
食品,1231,聯華食 1231
食品,1232,大統益 1232
食品,1233,天仁 1233
食品,1234,黑松 1234
食品,1235,興泰 1235
食品,1236,宏亞 1236
食品,1256,鮮活果汁-KY 1256
食品,1702,南僑 1702
食品,1737,臺鹽 1737
塑膠,1301,台塑 1301
塑膠,1303,南亞 1303
塑膠,1304,台聚 1304
塑膠,1305,華夏 1305
塑膠,1307,三芳 1307
塑膠,1308,亞聚 1308
塑膠,1309,台達化 1309
塑膠,1310,台苯 1310
塑膠,1312,國喬 1312
塑膠,1313,聯成 1313
塑膠,1314,中石化 1314
塑膠,1315,達新 1315
塑膠,1319,東陽 1319
塑膠,1321,大洋 1321
塑膠,1323,永裕 1323
塑膠,1324,地球 1324
塑膠,1325,恆大 1325
塑膠,1326,台化 1326
塑膠,1337,再生-KY 1337
塑膠,1339,昭輝 1339
塑膠,1340,勝悅-KY 1340
塑膠,1715,萬洲 1715
塑膠,4306,炎洲 4306
紡織纖維 ,1402,遠東新 1402
紡織纖維 ,1409,新纖 1409
紡織纖維 ,1410,南染 1410
紡織纖維 ,1413,宏洲 1413
紡織纖維 ,1414,東和 1414
紡織纖維 ,1416,廣豐 1416
紡織纖維 ,1417,嘉裕 1417
紡織纖維 ,1418,東華 1418
紡織纖維 ,1419,新紡 1419
紡織纖維 ,1423,利華 1423
紡織纖維 ,1432,大魯閣 1432
紡織纖維 ,1434,福懋 1434
紡織纖維 ,1439,中和 1439
紡織纖維 ,1440,南紡 1440
紡織纖維 ,1441,大東 1441
紡織纖維 ,1443,立益 1443
紡織纖維 ,1444,力麗 1444
紡織纖維 ,1445,大宇 1445
紡織纖維 ,1446,宏和 1446
紡織纖維 ,1447,力鵬 1447
紡織纖維 ,1449,佳和 1449
紡織纖維 ,1451,年興 1451
紡織纖維 ,1452,宏益 1452
紡織纖維 ,1453,大將 1453
紡織纖維 ,1454,台富 1454
紡織纖維 ,1455,集盛 1455
紡織纖維 ,1456,怡華 1456
紡織纖維 ,1457,宜進 1457
紡織纖維 ,1459,聯發 1459
紡織纖維 ,1460,宏遠 1460
紡織纖維 ,1463,強盛 1463
紡織纖維 ,1464,得力 1464
紡織纖維 ,1465,偉全 1465
