type,code,name
水泥,1101 ,1101 
水泥,1102 ,1102 
水泥,1103 ,1103 
水泥,1104 ,1104 
水泥,1108 ,1108 
水泥,1109 ,1109 
水泥,1110 ,1110 
食品,1201 ,1201 
食品,1203 ,1203 
食品,1210 ,1210 
食品,1213 ,1213 
食品,1215 ,1215 
食品,1216 ,1216 
食品,1217 ,1217 
食品,1218 ,1218 
食品,1219 ,1219 
食品,1220 ,1220 
食品,1225 ,1225 
食品,1227 ,1227 
食品,1229 ,1229 
食品,1231 ,1231 
食品,1232 ,1232 
食品,1233 ,1233 
食品,1234 ,1234 
食品,1235 ,1235 
食品,1236 ,1236 
食品,1256 ,1256 
食品,1702 ,1702 
食品,1737 ,1737 
塑膠,1301 ,1301 
塑膠,1303 ,1303 
塑膠,1304 ,1304 
塑膠,1305 ,1305 
塑膠,1307 ,1307 
塑膠,1308 ,1308 
塑膠,1309 ,1309 
塑膠,1310 ,1310 
塑膠,1312 ,1312 
塑膠,1313 ,1313 
塑膠,1314 ,1314 
塑膠,1315 ,1315 
塑膠,1319 ,1319 
塑膠,1321 ,1321 
塑膠,1323 ,1323 
塑膠,1324 ,1324 
塑膠,1325 ,1325 
塑膠,1326 ,1326 
塑膠,1337 ,1337 
塑膠,1339 ,1339 
塑膠,1340 ,1340 
塑膠,1715 ,1715 
塑膠,4306 ,4306 
紡織纖維 ,1402 ,1402 
紡織纖維 ,1409 ,1409 
紡織纖維 ,1410 ,1410 
紡織纖維 ,1413 ,1413 
紡織纖維 ,1414 ,1414 
紡織纖維 ,1416 ,1416 
紡織纖維 ,1417 ,1417 
紡織纖維 ,1418 ,1418 
紡織纖維 ,1419 ,1419 
紡織纖維 ,1423 ,1423 
紡織纖維 ,1432 ,1432 
紡織纖維 ,1434 ,1434 
紡織纖維 ,1439 ,1439 
紡織纖維 ,1440 ,1440 
紡織纖維 ,1441 ,1441 
紡織纖維 ,1443 ,1443 
紡織纖維 ,1444 ,1444 
紡織纖維 ,1445 ,1445 
紡織纖維 ,1446 ,1446 
紡織纖維 ,1447 ,1447 
紡織纖維 ,1449 ,1449 
紡織纖維 ,1451 ,1451 
紡織纖維 ,1452 ,1452 
紡織纖維 ,1453 ,1453 
紡織纖維 ,1454 ,1454 
紡織纖維 ,1455 ,1455 
紡織纖維 ,1456 ,1456 
紡織纖維 ,1457 ,1457 
紡織纖維 ,1459 ,1459 
紡織纖維 ,1460 ,1460 
紡織纖維 ,1463 ,1463 
紡織纖維 ,1464 ,1464 
紡織纖維 ,1465 ,1465 
紡織纖維 ,1466 ,1466 
紡織纖維 ,1467 ,1467 
紡織纖維 ,1468 ,1468 
紡織纖維 ,1469 ,1469 
紡織纖維 ,1470 ,1470 
紡織纖維 ,1472 ,1472 
紡織纖維 ,1473 ,1473 
紡織纖維 ,1474 ,1474 
紡織纖維 ,1475 ,1475 
紡織纖維 ,1476 ,1476 
紡織纖維 ,1477 ,1477 
紡織纖維 ,4414 ,4414 
紡織纖維 ,4426 ,4426 
電機機械 ,1503 ,1503 
電機機械 ,1504 ,1504 
電機機械 ,1506 ,1506 
電機機械 ,1507 ,1507 
電機機械 ,1512 ,1512 
電機機械 ,1513 ,1513 
電機機械 ,1514 ,1514 
電機機械 ,1515 ,1515 
電機機械 ,1517 ,1517 
電機機械 ,1519 ,1519 
電機機械 ,1521 ,1521 
電機機械 ,1522 ,1522 
電機機械 ,1524 ,1524 
電機機械 ,1525 ,1525 
電機機械 ,1526 ,1526 
電機機械 ,1527 ,1527 
電機機械 ,1528 ,1528 
電機機械 ,1529 ,1529 
電機機械 ,1530 ,1530 
電機機械 ,1531 ,1531 
電機機械 ,1532 ,1532 
電機機械 ,1533 ,1533 
電機機械 ,1535 ,1535 
電機機械 ,1536 ,1536 
電機機械 ,1537 ,1537 
電機機械 ,1538 ,1538 
電機機械 ,1539 ,1539 
電機機械 ,1540 ,1540 
電機機械 ,1541 ,1541 
電機機械 ,1558 ,1558 
電機機械 ,1560 ,1560 
電機機械 ,1583 ,1583 
電機機械 ,1589 ,1589 
電機機械 ,1590 ,1590 
電機機械 ,2049 ,2049 
電機機械 ,2228 ,2228 
電機機械 ,2231 ,2231 
電機機械 ,2371 ,2371 
電機機械 ,3167 ,3167 
電機機械 ,4526 ,4526 
電機機械 ,4532 ,4532 
電機機械 ,6605 ,6605 
電機機械 ,8374 ,8374 
電機機械 ,8996 ,8996 
電器電纜 ,1603 ,1603 
電器電纜 ,1604 ,1604 
電器電纜 ,1605 ,1605 
電器電纜 ,1608 ,1608 
電器電纜 ,1609 ,1609 
電器電纜 ,1611 ,1611 
電器電纜 ,1612 ,1612 
電器電纜 ,1613 ,1613 
電器電纜 ,1614 ,1614 
電器電纜 ,1615 ,1615 
電器電纜 ,1616 ,1616 
電器電纜 ,1617 ,1617 
電器電纜 ,1618 ,1618 
電器電纜 ,1626 ,1626 
電器電纜 ,4930 ,4930 
化工,1316 ,1316 
化工,1704 ,1704 
化工,1708 ,1708 
化工,1709 ,1709 
化工,1710 ,1710 
化工,1711 ,1711 
化工,1712 ,1712 
化工,1713 ,1713 
化工,1714 ,1714 
化工,1717 ,1717 
化工,1718 ,1718 
化工,1721 ,1721 
