type,code,name,找空白建,找空白建,白格,,,,,,,,,
水泥,1101,台泥 1101,3,#VALUE!,#VALUE!,,,,,,,,,
水泥,1102,亞泥 1102,3,#VALUE!,#VALUE!,,,,,,,,,
水泥,1103,嘉泥 1103,3,#VALUE!,#VALUE!,,,,,,,,,
水泥,1104,環泥 1104,3,#VALUE!,#VALUE!,,,,,,,,,
水泥,1108,幸福 1108,3,#VALUE!,#VALUE!,,,,,,,,,
水泥,1109,信大 1109,3,#VALUE!,#VALUE!,,,,,,,,,
水泥,1110,東泥 1110,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1201,味全 1201,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1203,味王 1203,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1210,大成 1210,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1213,大飲 1213,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1215,卜蜂 1215,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1216,統一 1216,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1217,愛之味 1217 ,4,#VALUE!,#VALUE!,,,,,,,,,
食品,1218,泰山 1218,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1219,福壽 1219,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1220,台榮 1220,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1225,福懋油 1225,4,#VALUE!,#VALUE!,,,,,,,,,
食品,1227,佳格 1227,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1229,聯華 1229,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1231,聯華食 1231,4,#VALUE!,#VALUE!,,,,,,,,,
食品,1232,大統益 1232,4,#VALUE!,#VALUE!,,,,,,,,,
食品,1233,天仁 1233,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1234,黑松 1234,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1235,興泰 1235,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1236,宏亞 1236,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1256,鮮活果汁-KY 1256,8,#VALUE!,#VALUE!,,,,,,,,,
食品,1702,南僑 1702,3,#VALUE!,#VALUE!,,,,,,,,,
食品,1737,臺鹽 1737,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1301,台塑 1301,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1303,南亞 1303,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1304,台聚 1304,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1305,華夏 1305,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1307,三芳 1307,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1308,亞聚 1308,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1309,台達化 1309,4,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1310,台苯 1310,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1312,國喬 1312,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1313,聯成 1313,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1314,中石化 1314,4,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1315,達新 1315,3,#VALUE!,#VALUE!,,,,,,,,,
塑膠,1319,東陽 1319,3,#VALUE!,#VALUE!,,,,,,,,,
